Date,Gallons Sold,Fuel Sales ($),Items Sold,Store Sales ($),Expenses ($)
2023-11-01,201,967.14,55,340,1061
2023-11-02,474,943.12,81,334,1152
2023-11-03,265,1992.88,112,1137,1408
2023-11-04,543,750.77,174,1061,1102
2023-11-05,476,967.83,118,204,1380
2023-11-06,291,1565.37,186,938,1066
2023-11-07,533,1550.01,75,524,1432
2023-11-08,408,1425.22,162,451,991
2023-11-09,313,1415.04,193,570,672
2023-11-10,233,1596.35,48,931,1055
2023-11-11,540,1832.95,189,471,717
2023-11-12,415,1915.06,133,290,506
2023-11-13,269,713.4,40,503,1385
2023-11-14,394,1266.33,50,395,1278
2023-11-15,220,1141.16,191,270,926
2023-11-16,218,1630.95,198,667,754
2023-11-17,225,1582.48,81,1062,1210
2023-11-18,238,2315.27,116,673,807
2023-11-19,313,1195.39,186,864,1294
2023-11-20,245,800.01,110,545,579
2023-11-21,513,1937.06,119,347,1240
2023-11-22,491,1205.59,102,1043,1356
2023-11-23,277,2079.63,101,691,849
2023-11-24,351,934.2,49,591,1327
2023-11-25,206,920.71,189,781,783
2023-11-26,369,1030.97,179,981,1498
2023-11-27,253,929.5,149,749,1300
2023-11-28,467,944.83,44,1141,1014
2023-11-29,228,1218.74,133,570,674
2023-11-30,438,965.38,114,389,863
