Date,Gallons Sold,Fuel Sales ($),Items Sold,Store Sales ($),Expenses ($)
2024-02-01,548,862.83,146,1128,946
2024-02-02,241,878.91,160,553,626
2024-02-03,449,769.86,153,541,575
2024-02-04,261,1751.8,110,923,842
2024-02-05,209,1294.17,183,990,1244
2024-02-06,319,1095.79,120,1056,1092
2024-02-07,348,1049.2,200,1059,645
2024-02-08,344,1780.91,152,245,651
2024-02-09,204,1119.52,182,525,801
2024-02-10,215,1847.15,162,622,1326
2024-02-11,254,794.38,105,893,959
2024-02-12,492,806.9,90,465,1408
2024-02-13,331,1031.53,61,1020,886
2024-02-14,329,1410.49,147,898,754
2024-02-15,224,1536.0,104,417,981
2024-02-16,562,1042.37,40,327,1470
2024-02-17,527,990.86,121,588,503
2024-02-18,581,974.06,190,1113,1229
2024-02-19,491,1451.4,90,1113,1413
2024-02-20,226,1429.88,173,332,1119
2024-02-21,222,1785.06,179,755,823
2024-02-22,322,1104.85,67,912,699
2024-02-23,507,1207.73,137,489,660
2024-02-24,569,1205.63,141,576,1430
2024-02-25,369,1256.88,198,1041,878
2024-02-26,241,1001.71,46,460,661
2024-02-27,538,765.08,83,555,1286
2024-02-28,440,967.52,142,488,1351
2024-02-29,388,1791.74,97,442,848
